time_s,roll_deg,pitch_deg,yaw_deg,ax_g,ay_g,az_g,amag_g,body_part
0.004,-13.785,-68.829,73.614,-0.9222,-0.2264,0.3545,1.0136,L. Wrist
0.014,-14.743,-68.765,73.269,-0.9436,-0.2696,0.3606,1.0455,L. Wrist
0.024,-15.62,-68.695,72.875,-0.9397,-0.2856,0.3391,1.0391,L. Wrist
0.034,-16.488,-68.525,72.562,-0.9355,-0.2829,0.3676,1.0442,L. Wrist
0.044,-17.531,-68.367,72.341,-0.9379,-0.3123,0.3659,1.0541,L. Wrist
0.055,-18.554,-68.176,72.053,-0.9152,-0.3114,0.3524,1.029,L. Wrist
0.065,-19.646,-68.164,71.741,-0.9126,-0.3371,0.3551,1.0356,L. Wrist
0.074,-20.582,-68.13,71.513,-0.937,-0.3507,0.3604,1.0634,L. Wrist
0.084,-21.606,-68.009,71.308,-0.9238,-0.3628,0.3623,1.0565,L. Wrist
0.094,-22.45,-67.788,71.031,-0.9429,-0.3674,0.3319,1.065,L. Wrist
0.104,-23.417,-67.655,70.829,-0.9343,-0.4046,0.3301,1.0704,L. Wrist
0.114,-24.496,-67.701,70.594,-0.9262,-0.4282,0.3607,1.0823,L. Wrist
0.124,-25.62,-67.766,70.419,-0.9376,-0.441,0.3382,1.0899,L. Wrist
0.134,-26.859,-67.739,70.165,-0.9395,-0.4695,0.3184,1.0975,L. Wrist
0.146,-28.093,-67.761,69.854,-0.9288,-0.4902,0.3271,1.1,L. Wrist
0.154,-29.189,-67.841,69.512,-0.9088,-0.4773,0.3459,1.0832,L. Wrist
0.164,-30.075,-67.88,69.237,-0.9201,-0.5163,0.3313,1.1058,L. Wrist
0.173,-30.849,-67.98,68.942,-0.9309,-0.4955,0.3324,1.1057,L. Wrist
0.184,-31.538,-68.03,68.62,-0.927,-0.5158,0.3218,1.1086,L. Wrist
0.194,-32.361,-68.266,68.296,-0.9119,-0.5525,0.2994,1.1074,L. Wrist
0.204,-33.08,-68.315,67.937,-0.9114,-0.5553,0.3034,1.1095,L. Wrist
0.215,-33.803,-68.484,67.598,-0.9268,-0.5615,0.294,1.1228,L. Wrist
0.224,-34.649,-68.514,67.184,-0.9242,-0.5841,0.2836,1.1295,L. Wrist
0.235,-35.376,-68.612,66.793,-0.9455,-0.5751,0.3136,1.1503,L. Wrist
0.244,-36.226,-68.778,66.414,-0.9476,-0.576,0.3017,1.1492,L. Wrist
0.254,-37.208,-68.925,65.984,-0.948,-0.6208,0.2839,1.1682,L. Wrist
0.264,-38.344,-69.054,65.51,-0.9376,-0.6376,0.2724,1.1661,L. Wrist
0.275,-39.32,-69.167,65.018,-0.9544,-0.618,0.2613,1.1666,L. Wrist
0.285,-40.147,-69.187,64.517,-0.9201,-0.6623,0.2888,1.1699,L. Wrist
0.295,-40.801,-69.175,64.042,-0.9223,-0.6718,0.2694,1.1725,L. Wrist
0.305,-41.554,-69.274,63.555,-0.93,-0.6713,0.256,1.1752,L. Wrist
0.314,-42.403,-69.345,63.173,-0.9166,-0.6641,0.255,1.1603,L. Wrist
0.324,-43.224,-69.423,62.737,-0.9508,-0.6787,0.2618,1.1972,L. Wrist
